PCT_NUM,PRECINCT,COMMISH,CITY,PHONE,Web,area_sq_km
8,Precinct 8 Phil Sandlin,Phil Sandlin,Pasadena,(281)479-2525,http://www.harriscountytx.gov/pct8/,531.0006634279733
2,Precinct 2 Jerry Garcia,Jerry Garcia,Pasadena,(713)477-2766,http://hccp2.com,372.532448686148
3,Precinct 3 Sherman Eagleton,Sherman Eagleton,Baytown,(281)427-4792,https://hccp3.com/,1301.9176252572768
4,Precinct 4 Mark Herman,Mark Herman,Spring,(832)927-6200,https://www.constablepct4.com/,1639.315958198369
5,Precinct 5 Terry Allbritton,Terry Allbritton,Houston,(281)927-6700,https://constablepct5.com/,1292.2773416543878
7,Precinct 7 James Phillips,James Phillips,Houston,(713)643-6118,https://constable7.harriscountytx.gov/Pages/default.aspx,326.21927703135657
6,Precinct 6 Silvia Trevino,Silvia Trevino,Houston,(713)923-9156,https://constablesilviatrevino.com/,110.17286413653596
1,Precinct 1 Alan Rosen,Alan Rosen,Houston,(713)755-5200,http://www.pct1constable.net/,569.2520378642305
